,id,length,diameter,color
164,70239202173125629,12.0,3.0,желтый
165,70239202172890036,70.0,4.8,хаки цинк
166,70239202173060426,40.0,4.0,желтый
167,70239202186110588,25.0,4.2,цинк
168,70239202173481214,13.0,4.2,
169,70239202173059372,60.0,4.5,желтый
170,70239201931545962,51.0,5.5,цинк
171,70239202157975448,19.0,4.2,
172,70239202186392986,,,черный
173,70239201940584047,4.2,90.0,
174,70239202173480994,32.0,4.2,цинк
175,70239202149059979,16.0,3.0,
176,70239202156317627,16.0,4.0,
177,70239202149000663,90.0,4.2,
178,70239202189530160,16.0,3.5,
179,70239201931553540,51.0,4.8,красный цинк
180,70239201931554275,19.0,5.5,ярко-синий цинк
181,70239201931458964,51.0,5.5,цинк
182,70239202013781971,32.0,3.5,
183,70239202156185729,40.0,3.5,
184,70239202188959760,140.0,6.0,
185,70239202173082162,90.0,4.2,
186,70239202173081781,19.0,5.5,RAL 3003
187,70239202188512292,32.0,4.2,
188,70239202189763382,60.0,5.0,
189,70239202188629561,40.0,4.5,
190,70239201931457206,16.0,3.0,
191,70239202173038941,40.0,6.0,белый цинк
192,70239202173481301,41.0,4.2,цинк
193,70239202149082949,90.0,5.0,
194,70239201931544497,32.0,4.2,темно-зеленый
195,70239201942561068,29.0,4.8,шоколадный
196,70239202157987972,16.0,4.2,
197,70239201931544338,38.0,4.8,цинк
198,70239202173133252,29.0,4.8,RAL 3011
199,70239202173126733,35.0,3.5,черный
200,70239202157965500,25.0,3.9,
201,70239201954471707,29.0,4.8,коричневый
202,70239202149066284,25.0,3.5,
203,70239202186110546,45.0,3.5,
204,70239202173042751,110.0,4.8,
205,70239202157977039,125.0,4.8,
206,70239202157989497,11.0,3.8,
207,70239202173061507,28.0,4.8,RAL 9003
208,70239202186336869,32.0,4.2,цинк
209,70239202187091133,16.0,4.2,
210,70239202173078883,16.0,3.5,желтый
211,70239202173049336,35.0,4.8,темно-зеленый
212,70239202172889048,25.0,4.2,белый
213,70239202157976965,70.0,4.2,
214,70239202187050738,32.0,3.5,
215,70239201940747021,45.0,3.5,
216,70239202149060610,140.0,6.0,
217,70239202187057540,152.0,4.8,
218,70239202157977084,14.0,4.2,
219,70239202173481287,29.0,4.8,зеленый
220,70239202157971578,32.0,6.3,
221,70239202173124149,50.0,4.8,шоколадно-коричневый
222,70239202157968158,35.0,3.9,
223,70239202157979219,32.0,3.5,
224,70239202173026667,19.0,4.2,белый
225,70239202173077035,51.0,3.5,
226,70239202156304197,40.0,5.0,
227,70239202149057608,19.0,3.5,
228,70239202173481045,35.0,4.8,ярко-синий
229,70239202156255709,25.0,3.0,
230,70239202188624697,45.0,3.5,
231,70239201931456042,40.0,6.0,
232,70239202173069747,13.0,4.2,
233,70239202173103918,3.0,30.0,белый
234,70239202014047734,25.0,5.5,RAL 3011
235,70239202172900702,16.0,4.2,
236,70239201931467364,80.0,12.0,
237,70239202173102807,16.0,4.2,
238,70239201931460542,19.0,3.5,
239,70239202149070863,40.0,3.0,
240,70239202188510340,120.0,6.0,
241,70239202157978673,41.0,4.2,
242,70239202158237447,16.0,3.0,
